name,establishment,address,city,locality,latitude,longitude,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes,photo_count,delivery,takeaway
The Feast House,Casual Dining,"1-B, Pusa Road, Near Karol Bagh Metro Station, Karol Bagh, New Delhi",New Delhi,Karol Bagh,28.64375652,77.18814198,"Karol Bagh, New Delhi","Continental, North Indian, American, Italian",9am to 11pm (Mon-Sun),1100,3,"No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Live Music', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted', 'Axis Bank - Dining Delights",4.2,Very Good,2451,3748,-1,-1
Jamie's Italian,Casual Dining,"3rd Floor,  Ambience Mall, Vasant Kunj, New Delhi",New Delhi,"Ambience Mall, Vasant Kunj",28.54102247,77.15504251,"Ambience Mall, Vasant Kunj, New Delhi","Italian, Pizza",12 Noon to 11 PM,1500,3,"Lunch', 'Cash', 'Dinner', 'Takeaway Available', 'Mall Parking', 'Debit Card', 'Delivery', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Table booking recommended', 'Fullbar', 'Wifi",4.3,Very Good,2597,2563,-1,-1
Abongchiiz,Casual Dining,"9, DDA Hudson Lane, Delhi University-GTB Nagar, New Delhi",New Delhi,Delhi University-GTB Nagar,28.69400195,77.20480151,"Delhi University-GTB Nagar, New Delhi","North Indian, Chinese, Continental, Momos",11am to 11pm (Mon-Sun),700,2,"Cash', 'Debit Card', 'Takeaway Available', 'No Alcohol Available', 'Lunch', 'Dinner', 'Credit Card', 'Delivery', 'Digital Payments Accepted', 'Hookah', 'Air Conditioned', 'Wifi', 'Board Games', 'Free Wifi', 'Indoor Seating', 'Smoking Area', 'Live Sports Screening",4.2,Very Good,1524,3700,-1,-1
Auro Kitchen & Bar,Casual Dining,"Shop 31, 2nd Floor, DDA Shopping Complex, Aurobindo Place, Hauz Khas, New Delhi",New Delhi,Hauz Khas,28.55207803,77.20403105,"Hauz Khas, New Delhi","Continental, Modern Australian, Italian",12noon to 12:30AM (Mon-Sun),2000,4,"Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Credit Card', 'Fullbar', 'Indoor Seating', 'Table booking recommended', 'Outdoor Seating', 'Rooftop', 'Air Conditioned', 'Smoking Area",4.1,Very Good,1793,2899,-1,-1
Imly,Casual Dining,"F-20, Hog Market, Rajendra Place, New Delhi",New Delhi,Rajendra Place,28.64477048,77.17861008,"Rajendra Place, New Delhi","Street Food, North Indian, Continental, Momos",11 AM to 11:30 PM,1000,3,"Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Serves Jain Food', 'Free Parking', 'Indoor Seating', 'Free Wifi', 'Air Conditioned', 'Kid Friendly', 'Pure Veg', 'Sodexo', 'Digital Payments Accepted",4,Very Good,3499,7850,-1,-1
The G.T. Road,Casual Dining,"M 39, Outer Circle, Connaught Place, New Delhi",New Delhi,Connaught Place,28.63295956,77.22283099,"Connaught Place, New Delhi","North Indian, Mughlai","12 Noon to 3:30 PM, 7 PM to 12 Midnight (Mon-Fri), 11:30 AM to 12 Midnight (Sat-Sun)",1500,3,"Lunch', 'Cash', 'Dinner', 'Credit Card', 'Debit Card', 'Fullbar', 'Table reservation required', 'Buffet', 'Indoor Seating', 'Air Conditioned",4.2,Very Good,2882,7148,-1,-1
Decode,Bar,"J2/1 ,BK Dutta Market, Rajouri Garden, New Delhi",New Delhi,Rajouri Garden,28.64772815,77.12035753,"Rajouri Garden, New Delhi","Modern Indian, Finger Food",12 Noon to 1 AM,1500,3,"Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Credit Card', 'DJ', 'Valet Parking Available', 'Wine', 'Serves Cocktails', 'Table booking recommended', 'Smoking Area', 'Nightlife', 'Fullbar', 'Indoor Seating', 'Air Conditioned', 'Private Dining Area Available', 'Wifi",4.2,Very Good,2722,7619,-1,-1
Dragonfly Experience,Cocktail bar,"Worldmark 1, Aerocity, New Delhi",New Delhi,"Worldmark 1, Aerocity",28.55059,77.12299,"Worldmark 1, Aerocity, New Delhi","Finger Food, European, Asian",12noon to 1am (Mon-Sun),4000,4,"Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Nightlife', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Smoking Area', 'Fullbar', 'Serves Cocktails', 'Digital Payments Accepted', 'Wheelchair Accessible",4.9,Excellent,349,1040,-1,-1
Civil House,Casual Dining,"26, Khan Market, New Delhi",New Delhi,Khan Market,28.60016933,77.22736862,"Khan Market, New Delhi","European, Mediterranean","Mon-Thu (11:30 AM to 11:30 PM), Fri-Sun (11:30 AM to 1 AM)",2100,4,"Cash', 'Delivery', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Table reservation required', 'Fullbar', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Outdoor Seating', 'Free Wifi",4.1,Very Good,1197,1969,-1,-1
Pa Pa Ya,Fine Dining,"Dome, Level 4, Select Citywalk, A-3, District Centre, Saket, New Delhi",New Delhi,"Select Citywalk Mall, Saket",28.52839131,77.21861087,"Select Citywalk Mall, Saket, New Delhi","Asian, Chinese, Thai, Japanese",12Noon to 1AM (Mon-Sun),2500,4,"Lunch', 'Serves Alcohol', 'Cash', 'Credit Card', 'Debit Card', 'Dinner', 'Mall Parking', 'Fullbar', 'Air Conditioned', 'Indoor Seating', 'Table booking recommended', 'Smoking Area', 'Brunch",4.7,Excellent,3234,8344,-1,-1
Indian Accent,Fine Dining,"The Lodhi, Lodhi Road, New Delhi",New Delhi,"The Lodhi, Lodhi Road",28.59259708,77.2380371,"The Lodhi, Lodhi Road, New Delhi",Modern Indian,"12 Noon to 2:30 PM, 7 PM to 10:30 PM",5000,4,"Lunch', 'Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Table booking recommended', 'Fullbar', '4/5 Star', 'Wifi', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Luxury Dining",4.5,Excellent,3447,5484,-1,-1
United Coffee House,Fine Dining,"E-15, Connaught Place, New Delhi",New Delhi,Connaught Place,28.6324231,77.22127665,"Connaught Place, New Delhi","South Indian, Chinese, Asian, European, Mediterranean, North Indian",9:30 AM to 11:30 PM,2500,4,"Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Fullbar', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Wheelchair Accessible', 'Sodexo', 'Ticket Restaurant', 'Digital Payments Accepted', 'Wifi",4.4,Very Good,3353,4183,-1,-1
Bo Tai,Fine Dining,"6/4,Kalka Das Marg, Mehrauli Road, Near Qutub Minar, Mehrauli, New Delhi",New Delhi,Mehrauli,28.52558935,77.18418539,"Mehrauli, New Delhi",Thai,10:30 AM to 1:30 AM,3500,4,"Dinner', 'Debit Card', 'Lunch', 'Cash', 'Credit Card', 'Fullbar', 'Rooftop', 'Air Conditioned', 'Luxury Dining', 'Indoor Seating', 'Table booking recommended",4.5,Excellent,997,1350,-1,-1
Parikrama - The Revolving Restaurant,Fine Dining,"22, Antriksh Bhavan, Kasturba Gandhi Marg, Connaught Place, New Delhi",New Delhi,Connaught Place,28.62857213,77.22227711,"Connaught Place, New Delhi","North Indian, Chinese, Mughlai",12:30 PM to 11:30 PM,2600,4,"Cash', 'Dinner', 'Lunch', 'Debit Card', 'Credit Card', 'Fullbar', 'Air Conditioned', 'Table booking recommended', 'Indoor Seating', 'Valet Parking Available', 'City View', 'Romantic Dining",4,Very Good,3919,1053,-1,-1
Nueva,Fine Dining,"Ground Floor, Sangam Courtyard, R K Puram, New Delhi",New Delhi,"Sangam Courtyard, RK Puram",28.57256681,77.17351824,"Sangam Courtyard, RK Puram, New Delhi","European, American, Asian",12noon to 1am (Mon-Sun),3000,4,"Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Lunch', 'Serves Alcohol', 'Axis Bank - Dining Delights', 'Private Dining Area Available', 'Wheelchair Accessible', 'DJ', 'Valet Parking Available', 'Serves Cocktails', 'Table booking recommended', 'Air Conditioned', 'Smoking Area', 'Wifi', 'Nightlife', 'Indoor Seating",4.2,Very Good,900,1259,-1,-1
K3 - JW Marriott New Delhi,Fine Dining,"JW Marriott Delhi NCR, Asset Area 4, Hospitality District, Aerocity, New Delhi",New Delhi,JW Marriott New Delhi,28.5532552,77.1219546,"JW Marriott New Delhi, New Delhi","North Indian, Chinese, Italian, Momos",24 Hours,3500,4,"Dinner', 'Serves Alcohol', 'Credit Card', 'Lunch', 'Cash', 'Debit Card', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Luxury Dining', 'Buffet', 'Fullbar', '4/5 Star', 'Table booking recommended', 'Wheelchair Accessible', 'Brunch",4.2,Very Good,1457,2015,-1,-1
