name,establishment,address,city,locality,latitude,longitude,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes,photo_count,delivery,takeaway
SamBar Pub & Kitchen,Pub,"8 Vora Building, 3rd Road, opp Simran Plaza, Khar West. Mumbai, Khar, Mumbai",Mumbai,Khar,19.0719897,72.83935513,"Khar, Mumbai","Finger Food, South Indian, North Indian","12Midnight to 1AM, 6:30PM to 12Midnight (Mon-Sun)",1250,3,"Dinner', 'Cash', 'Delivery', 'Serves Alcohol', 'Credit Card', 'Debit Card', 'DJ', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Above 18 Only', 'Digital Payments Accepted', 'Smoking Area', 'Brunch', 'LGBTQIA Friendly', 'Live Entertainment', 'Nightlife', 'Fullbar', 'Live Music', 'Serves Cocktails', 'Table reservation required', 'Air Conditioned', 'Private Dining Area Available', 'Wheelchair Accessible",3.9,Good,1128,1219,-1,-1
Tasty Trails,Food Truck,"Mahavir Nagar, Near Croma, Kandivali West, Mumbai",Mumbai,Kandivali West,19.21266015,72.84228779,"Kandivali West, Mumbai",Italian,"7 PM to 11 PM (Mon-Tue, Thu-Fri), 6:30 PM to 11 PM (Sat-Sun), Wed Closed",300,1,"Cash', 'No Seating Available', 'Debit Card', 'Credit Card', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Table Reservation Not Required', 'Pure Veg",3.9,Good,136,71,-1,-1
Mumbai 77,Casual Dining,"Shop G1, Megor Arcade, MG Road, Near Satyam Shopping Centre, Ghatkopar East, Mumbai",Mumbai,Ghatkopar East,19.07609315,72.90367048,"Ghatkopar East, Mumbai","Continental, Mexican, Beverages, Cafe, Desserts, Italian, Chinese, Ice Cream",12noon to 11:30pm (Mon-Sun),600,2,"Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Free Parking', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Outdoor Seating', 'Digital Payments Accepted",3.9,Good,957,1081,-1,-1
Cafe Delhi Heights,Casual Dining,"Unit G-08A, Ground Floor, Block 6, Festival Square In High Street Phoenix, Phoenix Mills Compound, 462, Senapati Bapat Marg, Lower Parel, Mumbai",Mumbai,"High Street Phoenix, Lower Parel",18.99522672,72.82514613,"High Street Phoenix, Lower Parel, Mumbai","Continental, Italian, Seafood, North Indian, Cafe",11am to 12midnight (Mon-Sun),2000,4,"Serves Alcohol', 'Debit Card', 'Cash', 'Mall Parking', 'Lunch', 'Takeaway Available', 'Dinner', 'Credit Card', 'Fullbar', 'Wheelchair Accessible', 'Air Conditioned', 'Table Reservation Not Required', 'Indoor Seating', 'Wifi",3.9,Good,1110,1124,-1,-1
Bhagwati Veg Restaurant,Casual Dining,"Kesar Residency, Sector 3, Charkop, Kandivali West, Mumbai",Mumbai,Kandivali West,19.21508119,72.82939676,"Kandivali West, Mumbai","South Indian, Fast Food, North Indian, Chinese, Beverages",9 AM to 12 Midnight,550,2,"No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Outdoor Seating', 'Table Reservation Not Required', 'Pure Veg', 'Indoor Seating', 'Air Conditioned', 'Serves Jain Food",3.9,Good,1635,348,1,-1
Sarvodaya Pure Veg,Casual Dining,"Shop 5, N Vidya Villa 1, Old Nagardas Road, Near Andheri East Station, Andheri East, Mumbai",Mumbai,Near Andheri East Station,19.12380037,72.85086717,"Near Andheri East Station, Mumbai","Chinese, South Indian, North Indian, Street Food",9am to 11:30pm (Mon-Sun),700,2,"Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Pure Veg', 'Air Conditioned",3.9,Good,890,298,1,-1
212 All Good,Casual Dining,"Ground Floor, High Street Phoenix, Grand West Zone, Lower Parel, Mumbai",Mumbai,"High Street Phoenix, Lower Parel",18.99482348,72.82361761,"High Street Phoenix, Lower Parel, Mumbai","European, Healthy Food, Italian, American, Desserts, Salad",9 AM to 12 Midnight,1200,3,"Dinner', 'Cash', 'Breakfast', 'Lunch', 'Mall Parking', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Gluten Free Options', 'Table booking recommended', 'Wifi",3.9,Good,998,1227,-1,-1
McDonald's,Quick Bites,"2 & 3, Shivai Dongre Industrial Premises, 89, Kurla Andheri Road, Sakinaka, Mumbai",Mumbai,Sakinaka,19.10591914,72.88479511,"Sakinaka, Mumbai","Burger, Fast Food, Beverages, Cafe, Desserts",7 AM to 1 AM,500,2,"Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Air Conditioned",3.9,Good,691,671,-1,-1
Bhagwati Pav Bhaji,Casual Dining,"6, Laxmi Chand CHS, Irani Wadi, Opposite Vanja Wadi , Mathuradas Road, Kandivali West, Mumbai",Mumbai,Kandivali West,19.20330206,72.843129,"Kandivali West, Mumbai","Chinese, Fast Food, South Indian, Street Food",10 AM to 1:30 AM,500,2,"Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Outdoor Seating', 'Pure Veg",3.9,Good,1190,399,-1,-1
Burger King,Quick Bites,"Next to Times Square Building, Marol, Mumbai",Mumbai,Marol,19.10767266,72.88251825,"Marol, Mumbai","Burger, Fast Food, Beverages",8 AM to 11 PM,500,2,"Credit Card', 'No Alcohol Available', 'Cash', 'Lunch', 'Delivery', 'Dinner', 'Takeaway Available', 'Debit Card', 'Air Conditioned', 'Wheelchair Accessible', 'Axis Bank - Dining Delights', 'Indoor Seating', 'Table Reservation Not Required",3.9,Good,1116,646,-1,-1
