name,establishment,address,city,locality,latitude,longitude,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes,photo_count,delivery,takeaway
Domino's Pizza,Quick Bites,"3-6-268, Stock Exchange Road, Opposite Telugu Academy, Himayath Nagar, Hyderabad",Hyderabad,Himayath Nagar,17.39907664,78.485846,"Himayath Nagar, Hyderabad","Pizza, Fast Food",10:57 AM to 11 PM,400,1,"No Alcohol Available', 'Dinner', 'Cash', 'Delivery', 'Lunch', 'Credit Card', 'Takeaway Available', 'Indoor Seating', 'Air Conditioned",3.9,Good,805,112,-1,-1
Royal Biryani & Kababs,Quick Bites,"Street 9, Opposite Narayana Junior College, Himayath Nagar, Hyderabad",Hyderabad,Himayath Nagar,17.40081676,78.48858252,"Himayath Nagar, Hyderabad","North Indian, Chinese","12midnight to 12:30AM, 11am to 12midnight (Mon, Tue, Thu, Fri, Sat, Sun), 12midnight to 12:30pm, 11:30pm to 12midnight (Wed)",200,1,"Cash', 'Delivery', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'Lunch', 'Indoor Seating",3,Average,1063,15,1,-1
Amogha Restaurant,Quick Bites,"Medak-Hyderabad Road, Bahadurpally, Sundar Rao Nagar, Suraram, Hyderabad",Hyderabad,Suraram,17.56023883,78.43059853,"Suraram, Hyderabad","North Indian, Biryani",11:45 AM to 10:30 PM,300,1,"Dinner', 'Cash', 'Breakfast', 'Lunch', 'Delivery', 'Indoor Seating', 'Table booking recommended",2.8,Average,1559,35,1,-1
Captain Cook,Casual Dining,"1-7-153/2, Beside SR Convention, Musheerabad, Hyderabad",Hyderabad,Musheerabad,17.41377037,78.49764001,"Musheerabad, Hyderabad","Biryani, North Indian, Chinese",5 AM to 3 AM,850,2,"Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Table Reservation Not Required",4.1,Very Good,9467,132,1,-1
AB's - Absolute Barbecues,Casual Dining,"Plot 483, 4th Floor, Pemmasani Complex, Bajaj Electronics Building, Near Madhapur Police Station, Road 36, Jubilee Hills, Hyderabad",Hyderabad,Jubilee Hills,17.43833556,78.39781724,"Jubilee Hills, Hyderabad","European, Mediterranean, North Indian","12 Noon to 4:30 PM, 6:30 PM to 11:30 PM",1500,3,"Dinner', 'Lunch', 'Serves Alcohol', 'Cash', 'Takeaway Available', 'Credit Card', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Wheelchair Accessible', 'Halal', 'Buffet', 'Fullbar",4.8,Excellent,9679,4667,-1,-1
Aura Cafe,Cafe,"Plot 280-A, Road 10C, Jubilee Hills, Hyderabad",Hyderabad,Jubilee Hills,17.436012,78.412096,"Jubilee Hills, Hyderabad","Cafe, Continental, European, Pizza",9am to 11pm (Mon-Sun),1400,3,"Lunch', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Breakfast', 'Free Parking', 'Outdoor Seating', 'Table booking recommended', 'Disabled Friendly', 'Smoking Area', 'Live Sports Screening', 'Indoor Seating', 'Air Conditioned', 'Wifi', 'Vegan Options",4.6,Excellent,1467,1987,1,-1
Bawarchi,Casual Dining,"Plot 44, RTC Cross Road, Opposite Sandhya Theatre, Chikkadpally, Nallakunta, Hyderabad",Hyderabad,Nallakunta,17.40588346,78.49883795,"Nallakunta, Hyderabad","Biryani, Hyderabadi, North Indian, Seafood","11:30am to 11:30pm (Mon-Sat),11:30am to 12midnight (Sun)",750,2,"Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Outdoor Seating', 'Air Conditioned', 'Indoor Seating",4.5,Excellent,42539,858,1,-1
Onesta,Casual Dining,"303, 3rd Floor, ANR Centre,.137, Road Number.1, Banjara Hills, Hyderabad",Hyderabad,Banjara Hills,17.41526338,78.45029432,"Banjara Hills, Hyderabad","Pizza, Italian, Fast Food, Beverages, Desserts",12:30 PM to 11 PM,600,2,"No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Lunch Menu', 'Table Reservation Not Required', 'Buffet', 'Desserts and Bakes', 'Indoor Seating', 'Digital Payments Accepted', 'Unlimited Pizza",4.7,Excellent,3143,1998,1,-1
Farzi Cafe,Casual Dining,"1200, Road 59, Jubilee Hills, Hyderabad",Hyderabad,Jubilee Hills,17.428555,78.409032,"Jubilee Hills, Hyderabad",Modern Indian,"12Noon to 11PM (Mon, Tue, Wed, Thu, Sun), 12Noon to 12:30AM (Fri-Sat)",1800,3,"Dinner', 'Cash', 'Credit Card', 'Lunch', 'Debit Card', 'Serves Alcohol', 'Valet Parking Available', 'Indoor Seating', 'Restricted Entry', 'Nightlife', 'Fullbar', 'Table booking recommended', 'Air Conditioned', 'Smoking Area",4.7,Excellent,2258,2879,-1,-1
Beyond Flavours,Casual Dining,"1st Floor, Fantasy Square, Opposite Bio Diversity Park, Gachibowli, Hyderabad",Hyderabad,Gachibowli,17.42877225,78.37403376,"Gachibowli, Hyderabad","Chinese, Continental, Kebab, European, South Indian, North Indian","12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Fri),12noon to 11:30pm (Sat-Sun)",800,2,"Dinner', 'Cash', 'Delivery', 'Credit Card', 'Debit Card', 'Lunch', 'Takeaway Available', 'Air Conditioned', 'Live Sports Screening', 'Indoor Seating', 'Table booking recommended', 'Sneakpeek', 'Wifi', 'Buffet', 'Valet Parking Available",4.2,Very Good,1312,1867,-1,-1
Shah Ghouse Hotel & Restaurant,Casual Dining,"8-191/15, Opposite Bio Diversity Park, Raidurgam, Gachibowli Main Road, Gachibowli, Hyderabad",Hyderabad,Gachibowli,17.42692427,78.37652721,"Gachibowli, Hyderabad","Biryani, North Indian, Chinese, Seafood, Beverages",12 Noon to 2 AM,800,2,"Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned",4.2,Very Good,12471,1207,1,-1
